T11,Expenditure on health,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
212,Dominica,2020,Domestic general government health expenditure (% of total government expenditure),5.4,Data revision.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
212,Dominica,2021,Domestic general government health expenditure (% of total government expenditure),5.8,Data revision.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
212,Dominica,2022,Domestic general government health expenditure (% of total government expenditure),6.2,Data revision.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
214,Dominican Republic,2005,Current health expenditure (% of GDP),4.4,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
214,Dominican Republic,2010,Current health expenditure (% of GDP),4.9,Data revision.;Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
214,Dominican Republic,2015,Current health expenditure (% of GDP),4.7,Data revision.;Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
214,Dominican Republic,2020,Current health expenditure (% of GDP),4.9,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
214,Dominican Republic,2021,Current health expenditure (% of GDP),4.9,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
214,Dominican Republic,2022,Current health expenditure (% of GDP),4.6,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
214,Dominican Republic,2005,Domestic general government health expenditure (% of total government expenditure),9.0,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
214,Dominican Republic,2010,Domestic general government health expenditure (% of total government expenditure),15.7,Data revision.;Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
214,Dominican Republic,2015,Domestic general government health expenditure (% of total government expenditure),14.2,Data revision.;Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
214,Dominican Republic,2020,Domestic general government health expenditure (% of total government expenditure),14.7,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
214,Dominican Republic,2021,Domestic general government health expenditure (% of total government expenditure),17.7,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
214,Dominican Republic,2022,Domestic general government health expenditure (% of total government expenditure),14.4,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
218,Ecuador,2005,Current health expenditure (% of GDP),5.8,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
218,Ecuador,2010,Current health expenditure (% of GDP),6.3,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
218,Ecuador,2015,Current health expenditure (% of GDP),7.8,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
218,Ecuador,2020,Current health expenditure (% of GDP),8.7,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
218,Ecuador,2021,Current health expenditure (% of GDP),8.2,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
218,Ecuador,2022,Current health expenditure (% of GDP),7.5,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
218,Ecuador,2005,Domestic general government health expenditure (% of total government expenditure),7.9,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
218,Ecuador,2010,Domestic general government health expenditure (% of total government expenditure),8.4,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
218,Ecuador,2015,Domestic general government health expenditure (% of total government expenditure),10.2,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
218,Ecuador,2020,Domestic general government health expenditure (% of total government expenditure),13.1,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
218,Ecuador,2021,Domestic general government health expenditure (% of total government expenditure),13.9,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
218,Ecuador,2022,Domestic general government health expenditure (% of total government expenditure),11.9,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
818,Egypt,2005,Current health expenditure (% of GDP),4.9,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
818,Egypt,2010,Current health expenditure (% of GDP),4.2,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
